Name,Team,Type,ValueinCR,Full Name,Age,National Side,Batting Style,Bowling,MatchPlayed,InningsBatted,NotOuts,RunsScored,HighestInnScore,100s,50s,4s,6s,BattingAVG,BattingS/R,CatchesTaken,StumpingsMade,Ducks,R/O,InningsBowled,Overs,Maidens,RunsConceded,Wickets,Best,3s,5s,BowlingAVG,EconomyRate,S/R,Mtc,Captaincy
Marco Jansen,SRH,All-Rounder ,4.2,Marco Jansen,"21 Years, 10 Months, 14 Days",South Africa,Right Handed,Left-arm fast,2,2,0,0,0 v KKR,0,0,0,0,0,0,1,0,2,0,2,6,0,45,2,2/28 v RCB,0,0,22.5,7.5,18,2,0
Ripal Patel,DC,All-Rounder ,0.2,Ripal Vinubhai Patel,"26 Years, 5 Months, 18 Days",India,Right Handed,Right-arm medium fast,2,2,1,25,18 v CSK,0,0,3,0,25,92.59,,,0,0,1,3,0,22,0,0/22 v RCB,0,0,,7.33,,1,0
Sean Abbott,SRH,Bowler ,2.4,Sean Anthony Abbott,"30 Years, 0 Months, 15 Days",Australia,Right Handed,Right-arm fast medium,2,2,0,15,14 v SRH,0,0,1,1,7.5,115.38,,,0,1,2,5,0,57,0,0/21 v SRH,0,0,,11.4,,2,0
Wanindu Hasaranga,RCB,All-Rounder ,10.75,Pinnaduwage Wanindu Hasaranga De Silva,"24 Years, 7 Months, 17 Days",Sri Lanka,Right Handed,Leg break,2,2,1,1,1* v CSK,0,0,0,0,1,50,,,1,0,2,6,0,60,0,0/20 v KKR,0,0,,10,,2,0
Alzarri Joseph,GT,Bowler ,2.4,Alzarri Shaheim Joseph,"25 Years, 3 Months, 25 Days",West Indies,Right Handed,Right-arm fast medium,3,2,2,15,15* v PBKS,0,0,2,0,,115.38,1,0,1,0,3,8.4,1,87,6,6/12 v SRH,0,1,14.5,10.03,8.66,3,0
David Willey,RCB,All-Rounder ,2,David Jonathan Willey,"32 Years, 0 Months, 15 Days",England,Left Handed,Left-arm fast medium,3,0,0,,,0,0,0,0,,0,2,0,0,0,3,10,0,95,2,1/24 v RCB,0,0,47.5,9.5,30,3,0
Glenn Phillips,SRH,Wicket-Keeper ,1.5,Glenn Dominic Phillips,"25 Years, 3 Months, 9 Days",New Zealand,Right Handed,Off break,3,3,1,26,14* v CSK,0,0,1,2,13,78.78,1,0,0,0,2,2,0,20,1,1/17 v KKR,0,0,20,10,12,2,0
KM Asif,CSK,Bowler ,0.2,KM Asif,"28 Years, 7 Months, 22 Days",India,Right Handed,Right-arm medium,3,0,0,,,0,0,0,0,,0,,,0,0,3,8.1,0,93,4,2/43 v DC,0,0,23.25,11.38,12.25,3,0
Matthew Wade,GT,Wicket-Keeper ,2.4,Matthew Scott Wade,"34 Years, 2 Months, 21 Days",Australia,Left Handed,Right-arm medium,3,3,0,22,11 v PWI,0,0,0,0,7.33,66.66,,,0,0,,,,,,,,,,,,,0
Nathan Ellis,PBKS,Bowler ,0.75,Nathan Ellis,"27 Years, 5 Months, 23 Days",Australia,Right Handed,Right-arm fast medium,3,2,1,18,12 v SRH,0,0,0,1,18,112.5,,,0,0,3,11,0,90,1,1/12 v MI,0,0,90,8.18,66,3,0
Pravin Dubey,DC,All-Rounder ,0.5,Pravin Dubey,"28 Years, 8 Months, 14 Days",India,Right Handed,Leg break googly,3,1,1,7,7* v MI,0,0,0,0,,53.84,1,0,0,0,3,8,0,72,0,0/14 v SRH,0,0,,9,,3,0
Umran Malik,SRH,Bowler ,4,Umran Malik,"22 Years, 3 Months, 24 Days",India,Right Handed,Right-arm medium fast,3,0,0,,,0,0,0,0,,0,,,0,0,3,12,0,96,2,1/21 v RCB,0,0,48,8,36,3,0
Vishnu Vinod,SRH,Wicket-Keeper ,0.5,Vishnu Vinod,"28 Years, 3 Months, 13 Days",India,Right Handed,,3,3,0,19,9 v DC,0,0,1,1,6.33,73.07,0,2,0,1,,,,,,,,,,,,,0
Fabian Allen,MI,All-Rounder ,0.75,Fabian Anthony Allen,"26 Years, 10 Months, 9 Days",West Indies,Right Handed,Slow left-arm orthodox,4,3,2,6,6 v SRH,0,0,0,0,6,50,2,0,2,0,3,11,1,90,1,1/22 v SRH,0,0,90,8.18,66,3,0
Daniel Sams,MI,All-Rounder ,2.6,Daniel Richard Sams,"29 Years, 4 Months, 19 Days",Australia,Right Handed,Left-arm fast medium,5,3,1,6,3* v DC,0,0,0,0,3,75,3,0,1,0,5,18,0,153,1,1/24 v PBKS,0,0,153,8.5,108,5,0
Jason Behrendorff,RCB,Bowler ,0.75,Jason Paul Behrendorff,"31 Years, 10 Months, 25 Days",Australia,Right Handed,Left-arm fast medium,5,0,0,,,0,0,0,0,,0,,,0,0,5,19,0,165,5,2/22 v CSK,0,0,33,8.68,22.8,5,0
Narayan Jagadeesan,CSK,Wicket-Keeper ,0.2,Narayan Jagadeesan,"26 Years, 2 Months, 23 Days",India,Right Handed,,5,2,0,33,33 v RCB,0,0,4,0,16.5,113.79,,,1,1,,,,,,,,,,,,,0
Prabhsimran Singh,PBKS,Wicket-Keeper ,0.6,Prabhsimran Singh,"21 Years, 7 Months, 5 Days",India,Right Handed,,5,5,0,50,16 v SRH,0,0,4,2,10,90.9,2,0,0,0,,,,,,,,,,,,,0
Riley Meredith,MI,Bowler ,1,Riley Patrick Meredith,"25 Years, 8 Months, 24 Days",Australia,Right Handed,Right-arm fast,5,1,1,0,0 v RR,0,0,0,0,,0,,,1,0,5,17,0,169,4,1/29 v RCB,0,0,42.25,9.94,25.5,5,0
Tushar Deshpande,CSK,Bowler ,0.2,Tushar Uday Deshpande,"26 Years, 10 Months, 1 Days",India,Left Handed,Right-arm medium,5,2,1,21,20* v SRH,0,0,2,1,21,175,1,0,0,0,5,17,0,192,3,2/37 v RR,0,0,64,11.29,34,5,0
Tymal Mills,MI,Bowler ,1.5,Tymal Solomon Mills,"29 Years, 7 Months, 3 Days",England,Right Handed,Left-arm fast,5,3,0,8,6 v SRH,0,0,0,1,2.66,72.72,1,0,1,0,5,17.5,0,153,5,2/31 v KKR,0,0,30.6,8.57,21.4,5,0
Aiden Markram,SRH,Batsman ,2.6,Aiden Kyle Markram,"27 Years, 5 Months, 11 Days",South Africa,Right Handed,Off break,6,6,1,146,42 v MI,0,0,12,4,29.2,122.68,3,0,0,0,2,4,0,23,0,0/5 v RCB,0,0,,5.75,,2,0
Alex Hales,KKR,Batsman ,1.5,Alexander Daniel Hales,"33 Years, 2 Months, 12 Days",England,Right Handed,Right-arm medium,6,6,0,148,45 v DC,0,0,13,6,24.66,125.42,2,0,,,,,,,,,,,,,,,0
Mitchell Santner,CSK,All-Rounder ,1.9,Mitchell Josef Santner,"30 Years, 1 Months, 8 Days",New Zealand,Left Handed,Slow left-arm orthodox,6,2,1,32,22 v MI,0,0,0,3,32,139.13,2,0,0,0,6,21,0,147,6,2/13 v MI,0,0,24.5,7,21,6,0
Lalit Yadav,DC,All-Rounder ,0.65,Lalit Yadav,"25 Years, 2 Months, 12 Days",India,Right Handed,Off break,7,5,3,68,22* v MI,0,0,7,0,34,93.15,5,0,1,0,5,14,0,101,4,2/13 v KKR,0,0,25.25,7.21,21,5,0
Sherfane Rutherford,RCB,All-Rounder ,1,Sherfane Eviston Rutherford,"23 Years, 7 Months, 0 Days",West Indies,Left Handed,Right-arm fast medium,7,7,2,73,28* v RCB,0,0,2,7,14.6,135.18,5,0,0,0,6,6.5,0,59,1,1/6 v RCB,0,0,59,8.63,41,6,0
